,0,1,2,3,4,5
BALANCE,0.06774553838497231,0.8206820796252294,-0.2848069841447547,-0.16431985618203665,0.06668238867843582,0.164694015293792
BALANCE_FREQUENCY,0.2516844474936865,0.3346323243999166,-0.49394308054156916,0.21788286339700827,-0.46618426528555895,-0.20450618372851606
PURCHASES,0.8450369056718158,0.1802176046973919,0.16042267830009146,-0.1553732103923863,-0.06299434920854699,0.1525067740301896
INSTALLMENTS_PURCHASES,0.7957670124351721,0.0818950815711069,-0.022986026095334854,0.1404768239802699,0.31535206480876976,0.026627410410830506
CASH_ADVANCE,-0.22615719474132118,0.8035662072433837,0.23107785678785145,0.15904066872536313,0.09767399457682288,-0.08820994755928752
PURCHASES_FREQUENCY,0.8198244650751145,-0.1699369763330462,-0.12079288589088177,0.33714893871487317,-0.058393869560949566,-0.05030885727166173
ONEOFF_PURCHASES_FREQUENCY,0.6258833572546988,0.0893318950188768,0.18517344405254726,-0.21217892650386572,-0.6186660992279857,0.13488840861292958
PURCHASES_INSTALLMENTS_FREQUENCY,0.732358693440476,-0.1601756829337876,-0.21250189203663736,0.4614435660945424,0.26382405461916075,-0.11991828982579503
CASH_ADVANCE_FREQUENCY,-0.3343573748968616,0.7677609670741793,0.13684767556907115,0.35168459961588133,-0.13545708975707452,-0.11154672624229713
CASH_ADVANCE_TRX,-0.2623002028363484,0.7809078202885965,0.1643545173732723,0.34452002084268374,-0.07724663520033292,-0.19075860913374623
PURCHASES_TRX,0.8798395477295456,0.1199121715961776,0.010556774776457938,0.03497224611027763,-0.08884465762918471,0.07829721105618231
CREDIT_LIMIT,0.3527622740206679,0.5208100772138006,0.17789343244111433,-0.4053774681311968,0.07959151268039295,0.037779872880734124
PAYMENTS,0.4245817463694656,0.559795715016556,0.3826239671473638,-0.19142819549370502,0.16724227844703518,-0.08274898444516753
MINIMUM_PAYMENTS,0.10549918048928411,0.5334664957814084,-0.4771791889032531,-0.12534069868556244,0.33086053649108155,0.24397862359230896
PRC_FULL_PAYMENT,0.34548923638238677,-0.30393008907228913,0.520608022920501,0.11537987937981486,0.14082225174018118,-0.2957028493176221
TENURE,0.19084673689288983,0.04466779101041984,-0.30282712403301687,-0.49751202446655496,0.04733755631364569,-0.749543286424713
